gene_id,log2fc,padj,comparison,source_sheet
B9J08_002707,1.67784082,9.59e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003466,1.668693237,0.009113028,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004892,1.66375017,6.01e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004831,1.662637549,0.000973383,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003167,1.661568244,8.31e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002423,1.647947837,0.006648706,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001225,1.645973337,0.000393969,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005163,1.636878535,5.78e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004445,1.629822546,2.66e-21,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003223,1.626887784,0.00643028,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004878,1.605949679,0.001064846,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002240,1.604067237,4.1e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004545,1.595640047,6.36e-09,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001588,1.594240477,0.001285205,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002734,1.584046947,0.005322676,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000792,1.567479605,2.37e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000017,1.556398803,0.007557721,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003007,1.544645383,0.006038842,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003454,1.542102818,0.003117831,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001255,1.54170909,1.46e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002735,1.539355861,0.008038017,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003374,1.530226507,0.000143968,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000030,1.521147411,5.77e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001181,1.517429093,0.002233344,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002560,1.509810326,3.46e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002773,1.506839098,0.00579765,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003462,1.501982437,0.001870644,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000829,1.489677831,0.00426955,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005080,1.48179137,0.00097909,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002255,1.479092963,0.000934143,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004104,1.467950744,0.000894896,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000501,1.45714685,0.005530004,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
